ForceIdentifier,SimTime,Spatial_FPB_Orientation_phi
2,1.0,-1.5707939863204956
1,1.5,1.645151972770691
2,2.5,-1.5707939863204956
2,3.5,-1.5707939863204956
2,3.5,-1.5707939863204956
